inr;iso;nam;plz;ort;gemeindekennzahl;sbi;isil;tvw;tel;fax;ema;url;opa;text;oef;typ_text;utr_text;gro_text;leitung
AA150;DEU;Staatliche Bibliothek Neuburg/Donau;Karlspl. A 17;Neuburg/Donau;91850149149;150;DE-150;-8431;91 06;(08431) 91 16;StaBi@neusob.de;http://www.sbnd.de;http://opac.sbnd.de;aktiv;Mo 13.30-16.00. Di 13.30-18.00. Mi 13.30-16.00. Do 10.00-12.00 und 13.30-16.00;Regionalbibliothek;Land;30.001 - 100.000;nebenamtlich
AA162;NULL;Stadtbibliothek;Marktpl. 1;Bad Windsheim;95750112112;162;DE-162;-9841;66 89-15;(09841) 66 89-50;info@bad-windsheim.de;NULL;NULL;NULL;NULL;NULL;Kommune/Gemeinde;5.001 - 10.000;nebenamtlich
AA174;NULL;Stadtbibliothek Gelsenkirchen;Ebertstr. 19;Gelsenkirchen;55130000000;174;DE-174;-209;1 69 23 78;(0209) 1 69 30 27;Stadtbibliothek@gelsenkirchen.de;http://www.stadtbibliothek-ge.de/;http://katalog.stadtbibliothek-ge.de/opac/de/user_frm.html.S;aktiv;Mo-Fr 11.00-19.00 , Sa 10.00-13.00;NULL;Kommune/Gemeinde;100.001 - 300.000;hauptamtlich
AA186;DEU;Stadt- und Landesbibliothek im Bildungsforum Potsdam;Am Kanal 47;Potsdam;120540000000;186;DE-186;-331;289 64 01;(0331) 289 64 02;slb@bibliothek.potsdam.de;www.bibliothek.potsdam.de;www.bibliothek.potsdam.de;aktiv;Mo-Fr 10.00-19.00;NULL;Sonstige öffentliche Trägerschaft;300.001 - 1.000.000;hauptamtlich
AA198;NULL;Regionalbibliothek;Stargarder Str. 8;Neubrandenburg;130710107107;198;DE-198;-395;5 55 1355;(0395) 5 55 13-12;bibl@neubrandenburg.de;www.bibliothek-nb.de;http://62.159.150.4/wwwopac/;aktiv;Mo 13.00-18.00  Di/Do 10.00-19,00  Mi/Fr 10.00-18.00  Sa 9.00-13.00;NULL;Sonstige öffentliche Trägerschaft;100.001 - 300.000;hauptamtlich
AA204;NULL;Ibero-Amerikanisches Institut Preußischer Kulturbesitz. Bibliothek;Potsdamer Str. 37;Berlin;110000000000;204;DE-204;-30;2 66-452100;2 66-351550;musser@iai.spk-berlin.de;http://www.iai.spk-berlin.de/;http://www.iaicat.de;aktiv;Mo-Fr. 9.00-19.00 Uhr, Sa 9.00-13.00 Uhr;NULL;Körperschaft/Stiftung des öff. Rechts;1.000.001 und mehr;nebenamtlich
AA228;NULL;Stadtbücherei in der Pfortmühle;Sudetenstr. 1;Hameln;32520006006;228;DE-228;-5151;202-1392;(05151) 202-1637;stadtbuecherei@hameln.de;http://www.hameln.de/kultur/kultur/buecherei/index.htm;http://www.stadtbuecherei.hameln.de;aktiv;Di und Do-Fr 12.00-18.00. Mi 10.00-16.00. Sa 10.00-13.00;NULL;Kommune/Gemeinde;100.001 - 300.000;hauptamtlich
AA241;NULL;Bücherei am Stadtpark;Pestalozzistr. 10;Kulmbach;94770128128;241;DE-241;-9221;95 66-0;(09221) 95 66-13;info@buecherei-kulmbach.de;http://www.buecherei-kulmbach.de;NULL;aktiv;Mo 14-19.30, Di + Do 10-17, Mi 9.30-14, Fr 10-14 Uhr;NULL;Kommune/Gemeinde;30.001 - 100.000;hauptamtlich
AA253;NULL;Thünen-Institut, Fachinformationszentrum Ländliche Räume;Bundesallee 50;Braunschweig;31010000000;253;DE-253;-531;5 96-1521;(0531) 5 96-1599;bibliothek-bs@vti.bund.de;http://www.vti.bund.de;NULL;aktiv;9-16.30;NULL;Staat (Bund od. Republik);100.001 - 300.000;nebenamtlich
AA277;NULL;Stadtbücherei. Zentralbibliothek;Hasengasse 4;Frankfurt/Main;64120000000;277;NULL;-69;2 12-3 44 82;2 12 - 3 79 49;info@stadtbuecherei.frankfurt.de;www.stadtbuecherei.frankfurt.de;http://www.stadtbuecherei.frankfurt.de/opac;aktiv;Mo-Fr 11.00-19.00. Sa 11.00-16.00;NULL;Kommune/Gemeinde;300.001 - 1.000.000;hauptamtlich
AA290;NULL;Universitätsbibliothek Dortmund;Vogelpothsweg 76;Dortmund;59130000000;290;DE-290;-231;7 55-4029, 4030 und 4001;(0231) 7 55-4032;Caren.Kraus@ub.tu-dortmund.de;http://www.ub.uni-dortmund.de;NULL;aktiv;Mo-Fr 7.00-1.00h. Sa+So 9.00-1.00h, Bereichsbibliotheken s. homepage;Universitätsbibliothek;Land;1.000.001 und mehr;nebenamtlich
AA356;NULL;Stadtbibliothek;Kreuzstr. 69;Bad Kreuznach;71330006006;356;DE-356;-671;8 00-240 ;(0671) 8 00-389;stabi.bk@net-art.de;NULL;NULL;aktiv;Mo und Mi 14.00-18.00. Di und Do-Fr 10.00-18.00. Sa 10.00-13.00;NULL;Kommune/Gemeinde;30.001 - 100.000;hauptamtlich
AA368;DEU;Stadtbibliothek;Reschop Carré 1;Hattingen;59540016016;368;DE-368;-2324;204-3555;(02324) 204-3569;bibliothek@hattingen.de ;http://www.bibliothek.hattingen.de;NULL;aktiv;Mo 10.00-19.00. Di 10.00-19.00. Do 10.00-19.00. Fr 10.00-19.00. Sa 10.00-14.00;NULL;Kommune/Gemeinde;30.001 - 100.000;hauptamtlich
AA381;DEU;Stadt- und Landesbibliothek Dortmund;Max-von-der-Grün-Platz 1-3;Dortmund;59130000000;60;DE-60;-231;50-23225 und 23226;(0231) 50-23199;stlb@stadtdo.de;www.bibliothek.dortmund.de;http://www.kataloge.dortmund.de;aktiv;Di-Fr 10.00 bis 19.00  und Sa 10.00 bis 15.00;NULL;Kommune/Gemeinde;300.001 - 1.000.000;hauptamtlich
AA411;NULL;Stadtbücherei;Walkenbrückenstr. 25;Coesfeld;55580012012;411;DE-411;-2541; 9 39-3100;(02541) 9 39-4100;stadtbuecherei@coesfeld.de;http://www.stadtbuecherei-coesfeld.de;http://www.coesfeld.de/buecherei;aktiv;Di. und Fr. 10-13 und 15-18 , Mi 15-18, Do 10-13 und 15-19 , Sa 10.00-13.00;NULL;Kommune/Gemeinde;30.001 - 100.000;hauptamtlich
AA423;NULL;Stadtbücherei;Kurze Kesselstr. 17;Warendorf;55700052052;423;DE-423;-2581;541433;(02581) 9 63 50;mediennetz@warendorf.de;www.warendorf.de/mediennetz;;aktiv;Mo 10.00-13.00. Di-Fr 10.00-13.00 und 14.00-18.00;NULL;Kommune/Gemeinde;30.001 - 100.000;hauptamtlich
AA435;NULL;Stadtbücherei;Friedrich-Ebert-Str. 40;Hürth;53620028028;435;DE-435;-2233;53-390 bis 393;(02233) 53 369;stadtbuecherei@huerth.de;www.huerth.de;NULL;aktiv;Di 10.00-17.00. Mi 14.00-17.00. Do 10.00-12.00 und 14.00-19.00. Fr 10.00-12.00 und 14.00-17.00. Sa 10.00-14.00;NULL;Kommune/Gemeinde;30.001 - 100.000;hauptamtlich
AA447;DEU;Stadtbücherei;Alter Steinweg 11;Münster;55150000000;447;DE-447;-251;4 92-4200 und 4201;(0251) 4 92-7724;buecherei@stadt-muenster.de;http://www.muenster.de/stadt/buecherei;http://www.stadt-muenster.de/opac;aktiv;Mo-Fr 10.00-19.00. Sa 10.00-15.00;NULL;Kommune/Gemeinde;100.001 - 300.000;hauptamtlich
AA460;NULL;Hessisches Staatsarchiv Darmstadt. Bibliothek;Karolinenpl. 3;Darmstadt;64110000000;460;NULL;-6151;16 59 00;(06151) 16 59 01;stad@hrz4.hrz.tu-darmstadt.de;www.staatsarchiv-darmstadt.hessen.de;;NULL;NULL;NULL;Land;100.001 - 300.000;nebenamtlich
AA472;DEU;Stadtbücherei;Hallstr. 2-4;Ingolstadt;91610000000;472;DE-472;-841;3 05-3800;(0841) 3 05-3849;stadtbuecherei@ingolstadt.de, Heike.marx@ingolstadt.de;www.ingolstadt.de/stadtbuecherei;NULL;aktiv;Mo-Fr 10.00-18.00. Sa 10.00-13.00;NULL;Kreis/Bezirk;100.001 - 300.000;hauptamtlich
AA496;NULL;Stadtbücherei;Kopernikusstr. 1 (Bildungszentrum);Brunsbüttel;10510011011;496;NULL;-4852;54 99-30 und 31;über (04852) 30 70;stadtbuecherei-brunsbuettel@gmx.de;http://www.brunsbuettel.de/kultur/stadtbuecherei.php;;aktiv;Mo-Fr 10.00-13.00 und 15.00-19.00;NULL;Kommune/Gemeinde;10.001 - 30.000;hauptamtlich
AA502;NULL;Stadtbibliothek Zossen;Kirchplatz 2;Zossen;120720477477;502;DE-502;-3377;30 40 477;(0331) 27548-6914;bibliothek@svzossen.brandenburg.de;www.zossenbbwork.de;NULL;aktiv;Mo 13:00-18:00, Di 13:00-18:00, Do 10:00-19:00, Fr 13:00-18:00, Sa 10:00-13:00;NULL;Sonstige öffentliche Trägerschaft;10.001 - 30.000;hauptamtlich
AA514;NULL;Stadtbibliothek Rathenow;Schleusenplatz 4;Rathenow;120630252252;514;DE-514;-3385;51 26 83;51 26 87;bibliothek@stadt-rathenow.de;http://www.stadtbibliothek-rathenow.de;NULL;aktiv;Mo, Di, Do: 10.00-18.00, Fr: 10.00-14.00;NULL;Kommune/Gemeinde;30.001 - 100.000;hauptamtlich
AA708;NULL;FernUniversität. Universitätsbibliothek;Universitätsstr. 23;Hagen;59140000000;708;DE-708;2331;987-2924;987-346;sekretariat.ub@fernuni-hagen.de;http://www.ub.fernuni-hagen.de;http://ub-parma.fernuni-hagen.de/F;aktiv;Mo-Do 9-19, Fr 9-16, Sa 9-13 Uhr;Universitätsbibliothek;Land;300.001 - 1.000.000;nebenamtlich
AB014;NULL;Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden (Bereich der ehemaligen Sächsischen Landesbibliothek);Marienallee 12;Dresden;146120000000;14;DE-14;-351;81 30-0;(0351) 81 30-200;auskunft@slub-dresden.de;http://www.tu-dresden.de/slub/;http://webopac.slub-dresden.de;NULL;NULL;NULL;Land;1.000.001 und mehr;nebenamtlich
AB026;DEU;Universitätsbibliothek Giessen;Otto-Behaghel-Str. 8;Gießen;65310005005;NULL;NULL;-641;99-14032;(0641) 99-14009 ;direktion@bibsys.uni-giessen.de ;http://www.uni-giessen.de/ub/de;https://opac.uni-giessen.de/;aktiv;Mo - So 8.30 - 23.00 Uhr;NULL;Land;1.000.001 und mehr;nebenamtlich
AB038;DEU;Universitäts- und Stadtbibliothek Köln;Universitätsstr. 33;Köln;53150000000;38;DE-38;-221;4 70-3335 und 2374;(0221) 4 70-5166;sekretariat@ub.uni-koeln.de;www.ub.uni-koeln.de;NULL;aktiv;NULL;NULL;Land;1.000.001 und mehr;nebenamtlich
AB051;DEU;Lippische Landesbibliothek;Hornsche Str. 41;Detmold;57660020020;51;DE-51;-5231;9 26 60-0;(05231) 9 26 60-55;llbmail@llb-detmold.de;http://www.llb-detmold.de;NULL;aktiv;NULL;Regionalbibliothek;Körperschaft/Stiftung des öff. Rechts;300.001 - 1.000.000;nebenamtlich
AB063;DEU;Stadt- und Regionalbibliothek;Dompl. 1;Erfurt;160510000000;63;DE-63;-361;6 55-1590;(0361) 6 55-1599;bibliothek@erfurt.de;http://bibliothek.erfurt.de;http://opac.erfurt.de;aktiv;Mo-Fr 10.00-19.00. Sa 10.00-13.00;NULL;Kommune/Gemeinde;300.001 - 1.000.000;hauptamtlich
AB075;DEU;Stadtbibliothek im Bildungscampus Nürnberg;Gewerbemuseumsplatz 4;Nürnberg;95640000000;75;DE-75;-911;231-2790;(0911) 231-5476;stadtbibliothek-nuernberg@stadt.nuernberg.de;http://www.stadtbibliothek.nuernberg.de;https://online-service.nuernberg.de/webpac/;aktiv;Mo-Fr 11-19,  Sa 11-16;NULL;Kommune/Gemeinde;300.001 - 1.000.000;hauptamtlich
AB105;DEU;"Technische Universität Bergakademie Freiberg. Bibliothek ""Georgius Agricola""";Agricolastr. 10;Freiberg;145220180180;105;DE-105;-3731;39 28 16;03731- 39 3289;unibib@ub.tu-freiberg.de;http://tu-freiberg.de/ze/ub/;http://webopac.ub.tu-freiberg.de;aktiv;NULL;Universitätsbibliothek;Land;300.001 - 1.000.000;nebenamtlich
AB129;DEU;Stadtbibliothek Bautzen;Schloßstr. 10/12;Bautzen;146250020020;129;DE-129;-3591;49 79-0;(03591) 49 79-11;stadtbibliothek@bautzen.de;http://www.stadtbibliothek-bautzen.de;NULL;aktiv;Mo und Fr 10.00-18.00. / Di und Mi 12.00-18.00;NULL;Kommune/Gemeinde;30.001 - 100.000;hauptamtlich
AB142;DEU;Stadtbücherei Hagen;Springe 1;Hagen;59140000000;142;DE-142;-2331;2 07-3579;über (02331) 2 07-2442;stadtbuecherei@stadt-hagen.de;http://www.hagen-medien.de;NULL;aktiv;Mo-Di und Fr 10.00-18.00. Do 10.00-19.00. Sa 10.00-14.00;NULL;Kommune/Gemeinde;100.001 - 300.000;hauptamtlich
AB154;DEU;Staatliche Bibliothek Passau;Michaeligasse 11;Passau;92620000000;154;DE-154;-851;7564400;75644027;sbp_info@staatliche-bibliothek-passau.de;http://www.staatliche-bibliothek-passau.de;NULL;aktiv;Mo-Fr 8.00-18.00;Regionalbibliothek;Land;300.001 - 1.000.000;nebenamtlich
AB166;NULL;Stadtbibliothek Diez;Wilhelmstr. 48;Diez;71415003029;166;NULL;-6432;501-350;501355;info@stadtbibliothek-diez.de;www.stadtbibliothek.diez.de;NULL;aktiv;NULL;NULL;Kommune/Gemeinde;10.001 - 30.000;hauptamtlich
AB178;NULL;Stadtbibliothek;Gustav-Regler-Platz 1;Saarbrücken;100410100100;178;DE-178;-681;905-2200 und 1344;(0681) 905-1265;stadtbibliothek-sb@saarbruecken.de;http://www.stadtbibliothek.saarbruecken.de;http://opac.saarbruecken.de;aktiv;Di-Fr 11.00-18.00. Sa 10.00-13.00;NULL;Kommune/Gemeinde;100.001 - 300.000;hauptamtlich
AB221;DEU;Stadtbibliothek;Hindenburgstr. 5;Bocholt;55540008008;221;DE-221;-2871;25 89-111;(02871) 25 89-116;stadtbibliothek@mail.bocholt.de;http://www.bocholt.de/seiten/bildung_und_kultur/stadtbibliothek.cfm;http://stadtbibliothek.bocholt.de/webopac/index.asp?;aktiv;Di-Mi und Fr 10.00-12.00 und 14.00-18.00. Do 12.00-20.00. Sa 10.00-13.00;NULL;Kommune/Gemeinde;100.001 - 300.000;hauptamtlich
AB233;NULL;Stadtbücherei;Nove-Mesto-Pl. 3;Hilden;51580016016;233;DE-233;-2103;72-300;02103 / 72-299;stadtbuecherei@hilden.de;www.stadtbuecherei-hilden.de;http://www.bibnet.de;aktiv;Di bis Fr  09.30-19.00. Uhr, Sa 9.30-15.00 Uhr;NULL;Kommune/Gemeinde;30.001 - 100.000;hauptamtlich
AB269;DEU;Stadtbücherei;Marienpl. 12;Ravensburg;84365005064;269;DE-269;-751;8 23 30;(0751) 8 23 56;stadtbuecherei@ravensburg.de;http://www.ravensburg.de;http://www.opac.ravensburg.de;aktiv;Di-Fr 10.00-19.00. Sa 10.00-13.00;NULL;Kommune/Gemeinde;30.001 - 100.000;hauptamtlich
AB270;NULL;Stadtbücherei;Herzogswall 17;Recklinghausen;55620032032;270;DE-270;-2361;50-1907;(02361) 50-1922;stadtbuecherei@recklinghausen.de;http://www.recklinghausen.de/Buecherei/Index.html;http://www.bibliotheken-im-kreisre.de/index.asp?DB=verb;aktiv;NULL;NULL;Kommune/Gemeinde;30.001 - 100.000;hauptamtlich
AB282;DEU;Statistisches Bundesamt, Bibliothek;Gustav-Stresemann-Ring 11;Wiesbaden;64140000000;282;DE-282;611;75-4573;75-44 33;bibliothek@destatis.de;www.destatis.de/bibliothek;NULL;aktiv;Mo-Do 9-15, Fr. 9-14;NULL;Staat (Bund od. Republik);300.001 - 1.000.000;nebenamtlich
AB294;NULL;Ruhr-Universität Bochum. Universitätsbibliothek;Universitätsstr. 150;Bochum;59110000000;294;DE-294;-234;32-22350;(0234) 32 14213;direktion-ub@rub.de;http://www.ub.rub.de;NULL;aktiv;Mo-Fr 8-24 Uhr, Sa 11-20 Uhr, So 11-18 Uhr;NULL;Land;1.000.001 und mehr;nebenamtlich
AB361;NULL;Universitätsbibliothek Bielefeld;Universitätsstr. 25;Bielefeld;57110000000;361;DE-361;521;106-4051;106-4052;sekretariat.ub@uni-bielefeld.de;http://www.ub.uni-bielefeld.de;NULL;aktiv;Mo bis Fr  08:00 - 01:00 Uhr des Folgetages, Sa und So 09:00 - 22:00 Uhr ;Universitätsbibliothek;Land;1.000.001 und mehr;nebenamtlich
AB373;NULL;Stadtbücherei;Franz-Stahlmecke-Pl. 2;Meschede;59580032032;373;DE-373;-291;2 05-295;(0291) 2 05-5295;gisela.fildhaut@meschede.de;http://i5l.meschede.de/buecherei/startseite_buecherei.php;https://webopac.kdvz.de/webopac_meschede/App/Pages/webopac/index.aspx;aktiv;Di und Fr 9.00-12.30. Di-Do 14.00-18.00. Sa 9.30-12.30 ;NULL;Kommune/Gemeinde;10.001 - 30.000;hauptamtlich
AB385;DEU;Universitätsbibliothek Trier;Universitätsring 15;Trier;72110000000;385;DE-385;-651;2 01-2496;(0651) 2 01-3977;bibliothek@uni-trier.de;http://www.ub.uni-trier.de;http://tricat.uni-trier.de/;aktiv;Montag - Freitag: 8 - 24 Uhr. Samstag: 8 - 19 Uhr. Sonntag: 11 - 15 Uhr;Universitätsbibliothek;Land;1.000.001 und mehr;nebenamtlich
AB397;NULL;Stadtbücherei Dülmen;Overbergplatz 2/3;Dülmen;55580016016;397;DE-397;-2594;12-413;(02594) 12-429;stadtbuecherei@duelmen.de;http://www.stadtbuecherei-duelmen.de/;http://www2.duelmen.de/opac54;aktiv;Mo-Di und Do-Fr 10.00-12.30 und 14.30-18.30. Sa 10.00-13.00;NULL;Kommune/Gemeinde;30.001 - 100.000;hauptamtlich
AB415;NULL;Stadtbücherei;Gasthausstr. 7;Erkelenz;53700004004;415;DE-415;-2431;85-362;(02431) 85-378;Stadtbuecherei.Erkelenz@Erkelenz.de;http://www.erkelenz.de/de/Stadtbuecherei_28042008/stadtbuecherei_28042008.html;NULL;aktiv;Di 10.00-18.00 Uhr. Mi 10.00-12.00 Uhr. Do 10.00-19.00 Uhr.Fr 10.00-12.00 Uhr und 15.00-17.00 Uhr. Sa 9.00-13.00 Uhr;NULL;Kommune/Gemeinde;30.001 - 100.000;hauptamtlich
AB439;DEU;Stadtbücherei;Alter Markt 3;Plettenberg;59620052052;439;DE-439;-2391;93 99 53;(02391) 93 99 55;stadtbuecherei@plettenberg.de;www.stadtbuecherei-plettenberg.de;http://opac.plettenberg.de;aktiv;Mo 9.00-13.00 und 14.30-18.30. Di 9.00-13.00 und 14.30-18.30. Do 14.30-18.30. Fr 9.00-13.00 und 14.30-18.30. Sa 10.00-13.00;NULL;Kommune/Gemeinde;10.001 - 30.000;hauptamtlich
AB440;NULL;Stadtbücherei;Hauberrisserstr. 8;Kaufbeuren;97620000000;440;DE-440;-8341;9 44 00;(08341) 94402;buecherei@kaufbeuren.de;www.kaufbeuren.de/buecherei;;aktiv;Di 10.00-19.00. Mi bis Fr 10.00-17.00;NULL;Kommune/Gemeinde;30.001 - 100.000;hauptamtlich
AB464;NULL;Universität Duisburg-Essen Universitätsbibliothek Campus Duisburg;Lotharstr. 65 LK;Duisburg;51120000000;464;DE-464;-203;379-2083;(0203) 379-2066;UB@duisburg.uni-duisburg.de;http://www.ub.uni-duisburg-essen.de/;http://aleph01.ub.uni-duisburg.de/F;aufgegangen/übernommen;NULL;Universitätsbibliothek;Land;1.000.001 und mehr;nebenamtlich
AB488;DEU;Schul- und Stadtbücherei;Weingarten 12;Lauenburg/Elbe;10530083083;488;NULL;-4153;20 96;(04153) - 5509799;buecherei@lauenburg.de;http://www.lauenburg.de;http://www.eopac.net;aktiv;NULL;NULL;Kommune/Gemeinde;10.001 - 30.000;hauptamtlich
AB506;DEU;Kreis- und Fahrbibliothek  mit Kreisbildstelle;Puschkinstraße 11;Luckenwalde;120720232232;506;DE-506;-3371;62 73 12;(03371) 62 73-19;kreisbibliothek@teltow-flaeming.de, Petra.Hermann@teltow-flaeming.de;www.bibliotheken-tf.de;http://www.bibliotheken-tf.de/cgi-bin/acwww25/maske.pl?db=ksb;aktiv;NULL;NULL;Kreis/Bezirk;30.001 - 100.000;hauptamtlich
AB518;NULL;Stadtbücherei Weimar;Steubenstr. 1;Weimar;160550000000;518;NULL;3643;48 25 0;48 25 23;info@stadtbibo-weimar.de;www.stadtbibo-weimar.de;;aktiv;Di-Fr 13.00-19.00. und Sa 10.00-13.00;NULL;Kommune/Gemeinde;100.001 - 300.000;hauptamtlich
AB701;NULL;Stadtbücherei Dreieich;Fichtestraße  50 A;Dreieich;64380002002;701;DE-701;-6103;962-651;(06103) 962-665;stadtbuecherei@dreieich.de;http://www.stadtbuecherei-dreieich.de;NULL;aktiv;Mo-Di und Do 14.00-18.00, Mi 10.00-14.00, Fr 14.00-20.00;NULL;Kommune/Gemeinde;30.001 - 100.000;hauptamtlich
AC006;DEU;Universitäts- und Landesbibliothek Münster;Krummer Timpen 3;Münster;55150000000;6;DE-6;-251;83-24021;(0251) 83-28398;sekretariat.ulb@uni-muenster.de;http://www.uni-muenster.de/ULB/;http://www.uni-muenster.de/ULB/katalog/;aktiv;NULL;NULL;Land;1.000.001 und mehr;nebenamtlich
AC018;NULL;Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky;Von-Melle-Park 3;Hamburg;20000000000;18;DE-18;-40;42838-2215;(040) 4 28 38-3352;adler@sub.uni-hamburg.de;www.sub.uni-hamburg.de;NULL;aktiv;NULL;NULL;Land;1.000.001 und mehr;nebenamtlich
AC031;DEU;Badische Landesbibliothek;Erbprinzenstr. 15;Karlsruhe;82120000000;31;DE-31;07 21;1 75 - 2201,  - 22 22;1 75 - 23 33;Sekretariat@BLB-Karlsruhe.de;http://www.blb-karlsruhe.de;http://sua.blb-karlsruhe.de;aktiv;Mo - Fr 9.00 - 19.00 Uhr, Sa 10.00 - 18.00 Uhr;Regionalbibliothek;Land;1.000.001 und mehr;nebenamtlich
AC043;DEU;Hochschul- und Landesbibliothek RheinMain Wiesbaden;Rheinstr. 55/57;Wiesbaden;64140000000;43;DE-43;-611;9495-1801;0611/9495-1809;direktion-bibliothek@hs-rm.de;www.hs-rm.de/bibliothek;NULL;aufgegangen/übernommen;Ausleihe: Mo. Di. Do 10.00 - 19.00. Mi. Fr: 10.00 - 16.30. Sa 10.00 - 12.30. Lesesaal/Information: Mo. Di. Do: 9.00 - 19.00. Mi. Fr 9.00 - 16.30. Sa 9.00 - 12.30;Regionalbibliothek;Land;300.001 - 1.000.000;nebenamtlich
AC067;NULL;StadtBibliothek;Dorotheenstr. 24;Bad Homburg v.d.Höhe;64340001001;67;DE-67;-6172;92136-0;(06172) 92136-99;stadtbibliothek@bad-homburg.de;www.bad-homburg.de;http://www.bad-homburg.de/wwwopac;aktiv;NULL;NULL;Kommune/Gemeinde;30.001 - 100.000;hauptamtlich
AC092;NULL;Hochschulbibliothek der Technischen Hochschule Nürnberg Georg Simon Ohm;Keßlerplatz 12;Nürnberg;95640000000;92;DE-92;-911;58 80-4242;(0911) 58 80-8292;bib-leitung@th-nuernberg.de;http://www.th-nuernberg.de/bibliothek;NULL;aktiv;Zentralbibliothek: Montag - Freitag: 9:00 - 21:00 Uhr. Samstag: 9:00 - 18:00 Uhr. Teilbibliothek : Montag - Freitag: 9:00 - 21:00 Uhr. Samstag: 9:00 - 18:00 Uhr. Präsenzbibliothek Informatik: Montag - Donnerstag 12.45 - 16.30 Uhr. Während der Semesterfer;Fach-/Hochschulbibliothek;Land;100.001 - 300.000;nebenamtlich
